age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
49,admin.,divorced,basic.4y,no,unknown,unknown,cellular,apr,mon,769,15,12,5,nonexistent,1.2227449776340436,94.4927894305525,-45.82610350636297,2.9149617003056534,5174.410469942875,no
48,admin.,divorced,university.degree,yes,unknown,no,telephone,oct,wed,2391,17,13,5,nonexistent,0.4398269726690102,93.55738797971537,-39.475080946494494,3.444222701569666,5210.780635707394,yes
46,admin.,single,university.degree,unknown,yes,no,cellular,may,thu,1515,29,5,6,nonexistent,-0.7947210690382465,93.61601391816859,-39.41162288013175,1.4703019205978216,4964.7343618794785,yes
58,blue-collar,married,university.degree,unknown,yes,no,telephone,dec,tue,3485,16,26,2,nonexistent,0.33752236029500343,92.29847658225601,-39.957288717070135,2.814357984575751,5191.385053046394,yes
28,blue-collar,divorced,basic.4y,yes,yes,no,telephone,feb,thu,2853,2,8,5,nonexistent,0.6145183039909082,92.46117827581685,-34.20161783081846,1.1459491242204167,5155.064362072844,yes
62,self-employed,divorced,basic.6y,no,unknown,yes,telephone,jul,mon,2433,1,23,1,failure,-1.0295904836733745,94.75130418800633,-44.36855916246768,3.2912189897462016,5144.747990470599,yes
30,blue-collar,divorced,high.school,no,unknown,no,cellular,may,fri,1215,22,9,5,failure,-1.2876559293230239,94.15541247920495,-44.573385544890115,1.0295336663191086,5077.343460933563,yes
44,self-employed,married,basic.6y,yes,no,no,telephone,sep,fri,955,4,15,6,failure,0.6209766606888477,92.07141960757306,-50.26556988127319,2.814753225321662,5051.3017014984525,no
73,self-employed,divorced,basic.6y,no,unknown,unknown,telephone,jun,fri,2324,26,22,5,nonexistent,0.7264255751504061,93.5331198351882,-41.676541039885244,2.6312445852296893,5072.213238414043,yes
36,blue-collar,single,basic.6y,no,yes,unknown,telephone,nov,thu,1184,17,14,1,nonexistent,-2.806587877101277,92.9668312176625,-46.12102032942094,1.0918801685746204,5122.687444586182,no
43,technician,married,high.school,unknown,no,no,telephone,jan,fri,459,7,11,3,nonexistent,0.9576420185721547,92.87223625683355,-36.66080024629037,2.533077320727597,5214.013902755881,yes
70,blue-collar,divorced,basic.6y,yes,unknown,yes,telephone,sep,tue,3385,25,27,0,failure,-2.0713889425729235,93.55849062338663,-46.47002051532523,3.5823499784698383,5018.344316129638,no
68,technician,single,high.school,no,no,no,telephone,may,mon,21,5,12,0,nonexistent,-0.19759649746070349,92.89642227744345,-29.42070785557197,3.2167422340042617,5221.137692478687,no
54,services,single,high.school,no,no,yes,cellular,sep,wed,2300,23,17,0,nonexistent,0.004690154137917054,92.70435272601603,-30.508557694964303,2.6154071586788787,5025.194267756375,yes
65,blue-collar,married,high.school,no,unknown,unknown,telephone,jan,tue,747,4,25,4,nonexistent,-2.057326579999562,94.62588453911128,-32.51243881975527,2.205758408202963,5187.306069453561,no
26,services,single,university.degree,yes,yes,yes,telephone,feb,mon,2904,20,1,0,nonexistent,-1.939954830372835,92.11160017416985,-31.47627195789318,0.8525085467486738,5138.17767715127,yes
45,blue-collar,married,university.degree,yes,yes,no,cellular,mar,wed,3632,20,13,5,nonexistent,-0.009756786309603919,93.22127880883296,-27.86595989290922,4.805949172714035,5160.663309627555,yes
49,services,married,basic.6y,no,no,unknown,telephone,dec,fri,474,29,16,5,nonexistent,-2.559635285749167,93.43132109656285,-43.15656632379904,2.3719140092512765,5183.553544625785,no
69,management,married,university.degree,unknown,unknown,no,telephone,may,wed,1082,5,22,3,failure,0.7203840107292778,93.23186500716581,-27.381365094369134,2.4324996459205224,4966.710096641434,no
71,services,single,high.school,unknown,unknown,no,cellular,jun,thu,2558,8,22,2,nonexistent,-2.330102007570794,93.84030346658122,-29.516508291157066,1.1647084048432386,5155.1468000369405,yes
20,technician,married,university.degree,yes,yes,yes,cellular,may,thu,3753,20,999,6,nonexistent,-1.7143721981009004,92.07189285297022,-42.150779057930144,2.9437401412889184,5226.959645467973,yes
68,admin.,married,high.school,unknown,unknown,no,telephone,jan,fri,2047,23,21,2,nonexistent,-2.1200394995258725,94.47799563669722,-30.148633767136506,4.9085723873637175,5094.4239552585905,yes
49,self-employed,single,basic.4y,no,unknown,no,telephone,apr,fri,3547,9,10,5,nonexistent,-2.222570133365569,93.40059426418775,-29.35441537140529,1.713312107523079,5106.927887710232,yes
22,services,married,university.degree,yes,no,unknown,telephone,jun,tue,2747,6,13,4,nonexistent,1.2985579365139277,93.55028846498953,-49.93748932776757,1.9786793767869695,4991.633316957236,yes
25,admin.,divorced,basic.6y,yes,unknown,yes,telephone,apr,tue,975,4,11,3,failure,-2.1840425350580754,93.29575903829908,-29.86449937348808,1.639343855793816,5053.733212814704,yes
31,management,single,basic.4y,unknown,unknown,yes,cellular,apr,thu,1806,5,22,1,nonexistent,-0.6240206376257341,93.24462386005561,-40.44545387636239,4.412976572542053,5125.608157877064,yes
73,management,single,basic.4y,yes,unknown,unknown,telephone,may,mon,189,8,13,5,failure,0.1778306771617863,92.52275833525974,-31.40887921905326,2.6909237094725635,4995.332437489153,no
20,technician,single,university.degree,unknown,yes,unknown,cellular,aug,tue,3005,20,16,2,nonexistent,-3.1985224809843613,93.41230741975515,-48.14318060411265,4.223503349071774,5051.772993968132,yes
41,technician,divorced,university.degree,unknown,yes,yes,telephone,may,mon,2734,13,11,6,nonexistent,0.8315455325285999,93.17977225540339,-46.68473044245532,4.340382112347343,5055.620940117675,yes
30,services,married,basic.6y,no,no,unknown,cellular,jul,thu,3005,4,5,3,failure,-2.666132141674432,93.310734457874,-27.407250626442995,3.8959945529817306,5178.608035710409,yes
60,blue-collar,single,basic.4y,unknown,yes,yes,telephone,aug,tue,562,7,25,6,nonexistent,-0.5772843177093796,92.03872646598778,-40.85328570423577,1.7485943579495529,5105.808753168131,no
46,management,single,high.school,unknown,yes,unknown,cellular,jun,mon,1899,22,8,6,nonexistent,-0.32258502262648875,92.36650175010334,-31.716917462895346,0.75516028607606,5110.251716700418,yes
25,admin.,single,university.degree,yes,yes,yes,cellular,jun,mon,3638,1,11,1,nonexistent,-0.3780839697901433,94.13687964953667,-32.869165778542616,1.2304732961418747,5038.265508778231,yes
68,blue-collar,divorced,basic.4y,no,yes,yes,cellular,feb,tue,1267,9,16,6,nonexistent,0.12054137654037507,93.17349115174694,-32.01342243153391,3.6665784498194496,5046.501388308523,no
59,management,divorced,basic.4y,no,no,unknown,cellular,oct,fri,2879,29,15,4,failure,1.0699402781284122,94.08013962694237,-32.52552509928251,3.8584206032789026,5082.942723168157,no
48,services,divorced,high.school,unknown,unknown,no,cellular,may,wed,1528,5,1,5,nonexistent,1.0490625629709398,92.47911153106028,-28.956366053248274,3.9720575085009764,5179.6695628718135,yes
78,management,married,basic.4y,yes,unknown,no,telephone,jan,fri,3202,10,17,0,failure,-0.6252256304939675,93.95498885476758,-36.6371736727156,1.6734648794527034,5047.430600808727,yes
43,technician,married,university.degree,yes,unknown,unknown,telephone,sep,wed,3556,11,15,5,failure,-1.6243900093327992,92.80951261461826,-40.63163023061474,1.2733584525196835,5048.635624562814,yes
35,admin.,divorced,high.school,yes,no,yes,telephone,jul,mon,3890,18,9,3,nonexistent,-1.8567777947476078,93.97434055932891,-28.687006129697117,4.661470591470418,5114.112715659608,yes
75,admin.,married,university.degree,no,yes,unknown,cellular,feb,tue,646,5,18,5,success,0.8560986904414193,92.24299449974215,-42.2688277619559,3.5225310042026243,5185.721742534061,no
35,technician,divorced,basic.6y,no,no,no,cellular,jun,thu,2068,24,29,2,nonexistent,0.6950176417101258,92.93419611604564,-35.726298951785196,3.864636327330039,5096.877901464646,yes
74,blue-collar,married,basic.4y,unknown,no,yes,telephone,oct,tue,2888,22,3,4,success,-1.980054800843684,92.33419796040087,-30.360288081981523,1.0131815813429366,4997.557908767375,yes
24,technician,married,university.degree,unknown,no,yes,cellular,sep,fri,2214,24,6,5,nonexistent,-2.6687210027554467,93.7630037818282,-28.907183931363782,2.414818865187789,5205.7073406757945,no
65,admin.,divorced,university.degree,yes,unknown,yes,cellular,dec,wed,1297,21,15,3,nonexistent,0.7334821719086685,93.09927459300602,-28.108620104219963,0.8785547457250509,5088.202426579612,yes
55,services,single,basic.6y,unknown,yes,no,cellular,may,tue,2435,4,18,4,nonexistent,-0.4799239967773712,92.2079753944965,-35.02760755692422,3.494107595755166,5168.270762362763,yes
65,blue-collar,single,basic.4y,yes,unknown,no,cellular,mar,wed,600,26,22,1,nonexistent,-1.8969333515642548,93.47382467445134,-33.58721125443568,2.753176429069947,4975.059745634392,no
33,self-employed,married,university.degree,no,no,yes,telephone,nov,fri,2363,19,4,3,nonexistent,-0.4688855241868689,92.06971159948598,-38.9092553526317,2.586441247198267,5184.7802126926335,yes
72,management,married,high.school,unknown,no,yes,telephone,oct,fri,2061,16,4,5,failure,-3.0822552529762257,94.29173746245728,-43.99106947666354,4.572792275766026,4979.030244759019,yes
73,self-employed,married,university.degree,yes,unknown,no,telephone,nov,tue,241,2,22,5,nonexistent,-2.4873435712358787,94.6273696443635,-50.41330934001748,3.8565218587693835,5219.525685621069,no
77,services,married,university.degree,no,unknown,no,cellular,apr,thu,2041,15,22,0,nonexistent,-0.7802171083439495,94.26819821074206,-45.49322642370895,4.842714203352335,5199.1199140304525,no
50,self-employed,married,university.degree,yes,unknown,yes,telephone,mar,thu,2824,9,6,1,failure,-0.8119920314811828,94.66421633844912,-27.378971684810015,0.803585166344905,5034.112950029428,yes
73,blue-collar,married,university.degree,unknown,yes,unknown,cellular,jan,wed,3417,17,24,0,nonexistent,-2.215991492397934,94.51191276857261,-31.52747426613512,3.3089812318278313,5022.725146972669,yes
68,admin.,divorced,basic.4y,yes,unknown,unknown,telephone,oct,tue,2612,26,16,4,success,1.314025136959687,94.50580512352138,-39.3510399560555,3.3729556380054113,5170.798967867481,yes
20,admin.,single,university.degree,no,yes,unknown,telephone,nov,mon,2945,2,999,6,failure,-1.4203043135333833,92.68723236105681,-42.58817254651422,0.7167897977672196,5003.708878995182,yes
55,services,single,basic.6y,unknown,yes,no,cellular,jul,fri,1363,22,2,0,success,0.0009829155722776391,92.64727272406296,-49.262169511397616,4.06315656588836,5193.262950292514,yes
21,self-employed,divorced,university.degree,no,unknown,unknown,telephone,aug,wed,2139,29,15,1,failure,-2.15940720144096,94.2663847042176,-50.557728916789905,1.2759054934921226,4972.040945088127,yes
53,blue-collar,divorced,high.school,unknown,no,unknown,cellular,feb,fri,1390,6,21,1,nonexistent,-1.362508600385378,93.37587708315182,-32.754052256029546,3.685596935247974,5135.952058311361,yes
21,management,single,high.school,yes,no,no,telephone,aug,wed,3003,28,1,1,nonexistent,0.5898683923459965,94.63847514692873,-27.24479653810295,0.7664253417120541,5032.387010093709,yes
59,self-employed,single,university.degree,no,yes,unknown,telephone,dec,tue,1478,1,24,5,failure,0.6732675961887729,94.51232440592361,-44.733488996896256,3.3002247602228123,5186.462424306512,yes
26,self-employed,married,university.degree,no,yes,yes,telephone,sep,wed,3499,8,999,4,nonexistent,-2.7507547643709063,94.50089909734677,-44.2385712805549,2.8914355055829395,5063.3321811795595,yes
57,management,single,basic.6y,yes,yes,no,telephone,jul,wed,2556,11,29,2,nonexistent,-1.697584148395679,92.91313524973063,-28.461270559800326,2.7264185773882215,5078.046731169836,yes
68,technician,married,basic.6y,no,no,yes,telephone,nov,mon,775,20,20,4,nonexistent,-2.424877897780181,92.37212624021561,-36.410722621501705,2.2133276090529472,5002.098444626638,no
34,services,married,basic.4y,no,yes,unknown,telephone,jan,wed,34,23,6,1,success,0.8732885038027323,93.89824288316561,-46.64591400417067,2.4490469332950866,5129.243725924114,no
34,blue-collar,single,basic.4y,no,yes,yes,cellular,apr,thu,2253,26,9,4,nonexistent,0.21853454480504814,93.23361505413658,-49.70809235385135,2.698334821557743,5088.08919571081,yes
50,services,married,high.school,no,no,no,telephone,jul,wed,3152,15,2,6,nonexistent,-0.696106911270581,94.61503891790085,-37.33053812156931,1.9098338458347726,4965.899037831309,yes
37,management,married,university.degree,yes,unknown,unknown,telephone,jun,wed,1955,9,29,3,nonexistent,-0.27959650902546174,94.39081334008095,-39.98388107941454,4.715270988046524,5156.9112502725875,yes
31,blue-collar,divorced,university.degree,no,no,no,cellular,nov,tue,1585,2,17,6,nonexistent,0.9879429855556999,94.60072130328614,-40.47294403442136,4.846006912823181,4997.474726339789,yes
39,admin.,single,basic.6y,no,unknown,unknown,cellular,aug,wed,3943,7,28,6,nonexistent,-1.9442777109186187,93.59002553303641,-27.634583151256685,1.9195723740784334,5102.763776549753,yes
69,admin.,divorced,basic.6y,no,unknown,no,telephone,jun,mon,3459,17,2,3,nonexistent,-3.334359968126789,93.4734376943064,-44.517227375409256,4.026243652008608,5106.186638765215,yes
44,blue-collar,married,basic.4y,unknown,yes,no,telephone,oct,tue,3073,3,27,2,nonexistent,-3.2734943793284743,94.37183397846916,-39.13702479875062,3.9071227969034923,5042.787362923477,yes
60,services,married,basic.4y,unknown,yes,yes,cellular,jun,fri,1021,4,6,6,failure,-3.175900937020562,93.4332920930855,-45.701078075817314,4.452562577483361,5024.074051281572,no
20,services,divorced,high.school,yes,unknown,no,telephone,oct,thu,3461,3,14,4,nonexistent,-2.7832916243639994,94.52008075944977,-43.10923930294955,0.616921403860947,5045.952049816623,yes
41,admin.,divorced,basic.6y,yes,yes,no,telephone,jun,thu,2613,8,999,6,failure,-0.6598035742521597,92.09639942262741,-32.49514834896198,2.087719176904037,5068.873330767092,yes
47,admin.,divorced,university.degree,yes,unknown,yes,telephone,jul,fri,1129,11,23,6,failure,1.3092151759599862,93.00461057711284,-46.08451821396531,1.237946361125397,5210.715694084225,no
25,management,married,basic.6y,no,yes,unknown,cellular,may,wed,3843,28,18,5,nonexistent,-1.3843967400067965,94.33753418868025,-34.63202088174078,2.3197763125979796,5140.603143807021,yes
39,blue-collar,single,basic.6y,unknown,no,unknown,telephone,dec,mon,3893,16,4,6,nonexistent,0.019599214840074236,92.58786174352377,-47.70149788255894,3.1327636538994295,5218.954586252346,yes
42,services,married,basic.6y,unknown,unknown,no,cellular,nov,mon,1500,28,25,4,nonexistent,0.4024502268253847,93.11710750661852,-46.245311371378435,4.598935230191973,4986.074904817431,yes
77,management,divorced,basic.4y,yes,unknown,yes,telephone,sep,mon,702,14,26,3,failure,0.4467057416975103,92.02811928140022,-50.248069899376475,4.294301774948212,4975.631025424996,no
27,services,single,university.degree,unknown,yes,unknown,cellular,jul,mon,2449,23,20,1,nonexistent,-1.2721780170496777,92.8448107150397,-35.73189636504172,2.795698432442399,4979.0535234861745,yes
66,admin.,divorced,university.degree,yes,no,yes,cellular,jan,wed,2777,19,21,0,nonexistent,-0.7602592380362465,92.89218634621557,-27.131340344032424,0.7034093462545497,5190.860970586447,yes
46,blue-collar,married,basic.4y,no,yes,no,telephone,nov,fri,1579,23,6,1,nonexistent,-1.8219811475752865,94.05112824591805,-35.11023933358898,1.923931929169315,5184.275471853789,yes
57,technician,single,basic.4y,unknown,no,yes,cellular,dec,fri,161,2,10,2,nonexistent,-0.09826713771307907,93.89653109744722,-28.73262269705018,1.069084372616868,5079.457444197352,no
71,blue-collar,single,university.degree,no,yes,no,cellular,dec,thu,201,12,999,0,nonexistent,-1.5622361667559839,93.24588080955705,-38.218851041433375,3.4627854932569577,5078.785275355568,no
18,self-employed,married,high.school,no,unknown,unknown,telephone,sep,fri,1981,11,21,1,nonexistent,-1.906894820028068,94.03980883841838,-34.541154541769416,3.659883988262134,5076.658715927542,yes
69,technician,divorced,basic.6y,unknown,no,unknown,cellular,nov,mon,995,16,1,4,failure,-0.3889448625717277,93.19933788402567,-28.679762130404896,3.45473076997157,5213.415571921063,no
38,management,divorced,university.degree,yes,no,unknown,cellular,jun,wed,2317,11,13,5,nonexistent,-1.76197390503895,93.21691017719377,-48.739365555480404,1.8087546607135123,5032.862029552531,yes
56,technician,divorced,basic.4y,unknown,yes,unknown,cellular,nov,tue,3934,3,9,6,nonexistent,-1.4416028477615241,93.80755229646262,-36.52125337114861,4.645838365736369,5153.609024960039,yes
41,technician,married,university.degree,no,no,yes,cellular,aug,tue,815,23,2,4,nonexistent,0.012193570810589412,94.02407267013191,-37.04485748728199,3.1894274847474606,4992.671959533038,no
26,management,divorced,basic.6y,yes,yes,yes,telephone,sep,mon,3342,10,13,3,failure,0.6960056348668874,94.37133209234445,-50.00767942419097,3.2278941693446197,5032.774047773093,yes
77,blue-collar,single,university.degree,no,no,yes,telephone,nov,thu,455,29,4,4,nonexistent,-1.3129522182584359,94.1039270968596,-47.066836227043886,4.188452186136803,5121.865556763316,no
61,management,divorced,basic.4y,yes,yes,no,telephone,nov,tue,3533,5,16,4,failure,-0.8934399574057306,93.87688240012632,-37.59884756126084,0.9046765116419674,5121.676925341319,yes
71,self-employed,divorced,high.school,unknown,yes,unknown,cellular,feb,mon,3798,28,6,2,nonexistent,0.18263602944804477,93.572136974557,-38.905564587746674,1.5222743506997398,5110.030146945772,yes
43,admin.,single,basic.4y,no,yes,unknown,telephone,feb,wed,1275,13,999,6,nonexistent,-2.320247867879727,92.86270412784216,-42.58250291201678,3.194158421055888,4996.2652809859865,no
26,admin.,single,high.school,yes,unknown,unknown,cellular,may,tue,1016,25,23,5,nonexistent,-1.4079724521345374,92.73103475025394,-34.12454877663402,3.2859043344232526,5163.216758706426,no
37,technician,divorced,basic.6y,yes,no,yes,telephone,may,mon,3773,24,10,0,nonexistent,0.49499367515238607,94.36110280369967,-42.19045709366083,2.6537679600854855,5151.691665092207,yes
73,management,single,basic.4y,unknown,unknown,yes,cellular,dec,tue,2343,6,27,1,nonexistent,0.8935187459503234,94.00856390421275,-32.42403660632302,4.031729033529326,5143.7088361721835,yes
52,management,married,university.degree,yes,unknown,unknown,telephone,oct,wed,3796,28,5,1,nonexistent,-0.30445811972608133,93.86315325119382,-31.459228599171116,2.120743181487548,4997.805104867747,yes
53,management,single,basic.4y,yes,unknown,no,cellular,oct,fri,2767,20,15,2,failure,-1.5117021754041569,92.72474472725189,-35.39458293828152,0.6494291669791264,5022.018005553504,yes
59,self-employed,married,basic.4y,no,unknown,yes,cellular,feb,fri,3820,3,26,0,nonexistent,-0.4915708675431873,94.71543326662953,-44.132354937114556,2.0958208256595747,5204.495385644195,yes
53,self-employed,single,basic.6y,unknown,no,unknown,cellular,oct,wed,337,22,13,6,nonexistent,-2.5415584482587184,92.227676461176,-31.616471381714604,4.849873998324706,5091.255322817055,no
71,blue-collar,married,high.school,unknown,no,unknown,cellular,apr,wed,878,9,16,4,nonexistent,-3.259380097296334,94.34710882005125,-44.782286047490906,4.027756690037711,5074.147845575871,yes
26,services,married,high.school,no,unknown,unknown,telephone,sep,fri,1076,21,14,5,nonexistent,-3.0418468332962196,92.5901845889207,-43.55807248878354,2.0003067593361115,5194.3865940195865,no
39,services,divorced,university.degree,no,no,no,cellular,apr,wed,791,28,13,6,nonexistent,-2.880772392397474,93.09833629194519,-36.249549087335666,1.5787772693635187,5041.591979107144,no
18,services,single,basic.4y,no,no,unknown,cellular,jan,wed,3993,7,6,2,nonexistent,-2.316834415692825,93.19806243992379,-34.331809367852124,4.165179283120811,5182.101844185272,yes
22,blue-collar,single,basic.6y,yes,yes,yes,cellular,may,wed,2264,23,9,4,nonexistent,-1.1837165939035905,93.85556350216815,-41.92616071969645,1.479549918381785,5080.375292174535,yes
26,management,single,high.school,unknown,no,no,telephone,feb,fri,763,7,18,1,nonexistent,-2.284919646944866,93.53065461484668,-36.66583479287097,3.152872390010574,5127.988041461878,no
54,services,married,university.degree,unknown,unknown,no,telephone,jun,fri,2235,25,6,2,nonexistent,-0.5918473017978599,92.52103515435161,-44.8730721243488,2.835026337472065,5060.097699793296,yes
55,management,divorced,high.school,unknown,no,unknown,telephone,jan,tue,379,2,14,5,nonexistent,1.3918391766698521,92.08404616256566,-31.80391689213849,2.4597441357679695,5205.978091562388,no
36,technician,single,university.degree,yes,unknown,yes,cellular,jul,fri,492,8,26,2,nonexistent,-1.0087307464222812,94.00819745577344,-27.088137109005345,2.474230002880806,4991.692388585781,no
25,services,divorced,high.school,unknown,no,yes,cellular,jul,tue,3112,18,23,2,nonexistent,0.23290570192065424,93.41378431028407,-34.10900545189282,3.690387592506728,5021.038354560442,yes
59,technician,divorced,university.degree,unknown,unknown,unknown,telephone,apr,fri,1180,27,25,6,success,-1.996472524501259,93.01300036511357,-43.16717157478727,1.0524827753062898,5017.19084252061,no
60,blue-collar,married,high.school,unknown,no,unknown,cellular,sep,thu,2062,1,13,1,nonexistent,1.221822735006906,92.79671001901757,-42.464697980026685,2.338993670777015,5032.439181167779,yes
49,admin.,single,high.school,unknown,no,yes,telephone,mar,tue,3884,28,14,5,nonexistent,-2.2042937171574555,94.30452408703916,-50.0704415102113,4.860877819102119,5083.7902610353085,yes
30,self-employed,divorced,basic.4y,no,no,no,cellular,may,wed,64,10,18,1,nonexistent,-0.536171183572321,94.22748754853251,-35.33781805547017,4.0239015374502065,4994.50376393284,no
37,blue-collar,single,university.degree,yes,unknown,no,cellular,may,thu,3928,6,20,3,failure,1.3199873570443237,94.31294090312038,-36.459494244440556,0.6925455035424667,4973.876537242462,yes
53,blue-collar,single,university.degree,unknown,yes,unknown,telephone,aug,fri,3910,18,25,5,failure,0.4795789171003521,92.61349385445315,-27.985331888853647,2.5670482257320115,5113.29141152768,yes
60,blue-collar,single,basic.4y,unknown,unknown,unknown,cellular,oct,fri,2568,13,15,1,nonexistent,1.3617598706107348,94.38548776514877,-41.18898460700883,1.1156543854017122,5096.40982329355,no
61,services,divorced,basic.4y,unknown,no,yes,cellular,oct,thu,1367,21,1,5,success,-1.5772576685182709,94.75951196484606,-28.503114042620894,2.7327339793245615,5053.704315046227,yes
54,technician,married,high.school,unknown,unknown,yes,cellular,apr,mon,1152,1,29,1,nonexistent,-3.027368813373726,93.67762752797518,-32.630076078867624,1.0557656077690156,5008.750658937769,no
47,self-employed,married,high.school,unknown,no,yes,telephone,jan,wed,2027,23,1,4,nonexistent,-2.2312448507746123,92.13207892129556,-43.91672546781691,2.312543522534324,4994.643664002684,yes
27,services,divorced,high.school,no,no,yes,cellular,nov,tue,2695,29,999,1,failure,1.1965448197941215,93.96634303310837,-50.407254334867716,2.9979815847607054,5198.74675332348,yes
48,admin.,single,basic.4y,no,yes,unknown,cellular,may,thu,1495,1,15,5,failure,-1.6212254944902595,93.5066992630875,-33.432798295643266,2.216158301574978,5078.523367596265,yes
42,self-employed,single,high.school,yes,no,unknown,cellular,jan,tue,3134,12,18,0,nonexistent,-2.801086555512463,93.9937324619452,-38.937289054303,3.14573419302629,5215.532197353827,yes
46,blue-collar,married,basic.4y,yes,no,yes,cellular,mar,fri,1162,28,3,4,nonexistent,-0.5530969476130857,92.52705911920434,-27.811641652519832,4.934212003454929,5049.638629006567,no
41,management,divorced,high.school,unknown,no,unknown,telephone,jun,mon,1522,8,2,5,nonexistent,-0.9979666349428863,93.69623672074117,-50.27168695114917,1.6814611957551093,5125.651062439044,yes
56,admin.,divorced,basic.4y,unknown,yes,unknown,telephone,jan,mon,2640,28,10,5,nonexistent,-3.1001484859239574,93.50974416241651,-38.32647485736508,3.0838349336236677,5113.70165300907,yes
38,technician,married,university.degree,no,unknown,yes,telephone,oct,tue,391,21,23,5,failure,-1.2258608949838437,93.68697412777445,-31.94712727906731,2.673829972404091,5006.59589390934,yes
58,admin.,divorced,basic.6y,yes,yes,no,cellular,mar,fri,1698,5,16,3,nonexistent,-0.36223027801411,94.03769296158374,-31.924432524948006,4.160763245054677,5094.211662027966,yes
